Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Pat Spencer,56,384,125,191,40,4,48,68,0,0,1,0,553.0,9.88
Javonte Green,72,489,196,49,90,22,76,42,0,0,1,0,710.5,9.87
Malachi Smith,6,37,13,16,6,3,5,9,0,0,0,0,59.0,9.83
Trendon Watford,50,338,173,129,16,21,10,62,0,0,1,1,491.0,9.82
Will Richard,62,428,158,86,77,7,68,52,0,0,0,0,608.0,9.81
Tristan Vukcevic,46,400,140,52,17,31,44,60,0,0,1,0,451.0,9.8
Cam Whitmore,21,193,58,15,15,8,16,18,0,0,0,0,205.5,9.79
Karlo Matković,59,338,217,49,24,51,38,31,0,0,1,0,574.0,9.73
Devin Carter,29,217,78,63,24,5,15,33,0,0,0,0,282.0,9.72
Luke Kennard,69,558,150,135,44,8,107,51,0,0,0,0,670.5,9.72
Keon Ellis,64,407,116,58,76,44,80,37,0,0,0,0,620.5,9.7
Ben Sheppard,61,432,185,106,36,5,81,38,0,0,0,0,591.5,9.7
Jarred Vanderbilt,57,255,257,70,47,18,27,49,0,0,1,0,550.0,9.65
Cody Williams,57,423,159,89,38,24,25,51,0,0,1,0,546.0,9.58
Jordan Walsh,58,308,237,43,41,24,40,32,0,0,2,0,554.0,9.55
Corey Kispert,52,483,126,88,15,7,76,41,0,0,0,0,496.5,9.55
Bones Hyland,63,505,103,159,35,14,94,58,0,0,0,0,601.5,9.55
Sion James,72,391,249,141,42,20,73,60,0,0,0,0,686.0,9.53
Spencer Jones,61,348,201,50,50,28,57,30,0,0,1,0,580.5,9.52
Ja'Kobe Walter,61,431,147,66,59,12,83,31,0,0,0,0,581.0,9.52
Cole Anthony,35,234,87,121,20,11,22,65,0,0,0,0,333.0,9.51
Will Riley,63,563,161,108,38,6,62,74,0,0,1,0,596.5,9.47
Blake Hinson,10,96,24,8,1,1,25,2,0,0,0,0,94.5,9.45
Matisse Thybulle,21,103,35,17,40,10,22,16,0,0,0,0,198.5,9.45
Quenton Jackson,40,334,87,96,22,6,35,47,0,0,1,0,377.5,9.44
Oscar Tshiebwe,17,97,81,14,8,3,0,5,0,0,0,0,160.5,9.44
Kevon Looney,18,52,96,25,6,9,1,8,0,0,0,0,169.5,9.42
Kasparas Jakučionis,46,271,123,114,31,5,56,43,0,0,0,0,429.5,9.34
Bryce McGowens,42,340,88,62,27,8,38,17,0,0,0,0,392.0,9.33
Killian Hayes,14,71,37,48,7,3,10,15,0,0,0,0,130.5,9.32
Bogdan Bogdanović,21,154,56,51,10,1,28,26,0,0,0,0,194.0,9.24
Mouhamed Gueye,69,314,248,61,57,35,35,33,0,0,3,0,637.5,9.24
Johnny Furphy,35,180,153,41,20,7,23,29,0,0,1,0,321.5,9.19
Moussa Cisse,34,127,166,8,12,37,0,25,0,0,1,0,311.5,9.16
